product_url,product_name,product_img
https://www.phonedepot.co.il/product-page/5in1-c-08-%D7%9E%D7%AA%D7%90%D7%9D-%D7%98%D7%99%D7%99%D7%A4-%D7%A1%D7%99-%D7%9C%D7%9E%D7%97%D7%A9%D7%91,5IN1 C-08 מתאם טייפ-סי למחשב,https://static.wixstatic.com/media/bbb777_5f550660684c4b7bb6e62b7e9e723af4~mv2.jpg
https://www.phonedepot.co.il/product-page/c-06-hdmi-2xusb-usb-c-%D7%9E%D7%AA%D7%90%D7%9D-%D7%98%D7%99%D7%99%D7%A4-%D7%A1%D7%99-%D7%9C%D7%9E%D7%97%D7%A9%D7%91,C-06 - HDMI+2xUSB+USB-C מתאם טייפ-סי למחשב,https://static.wixstatic.com/media/bbb777_3748a32d263c40e88d46d85034f8a063~mv2.jpg
https://www.phonedepot.co.il/product-page/c-04-4x-usb-%D7%9E%D7%AA%D7%90%D7%9D-%D7%98%D7%99%D7%99%D7%A4-%D7%A1%D7%99-%D7%9C%D7%9E%D7%97%D7%A9%D7%91,C-04 - 4x USB מתאם טייפ-סי למחשב,https://static.wixstatic.com/media/bbb777_afcc6761c5f647f2ba2299ce13cf569f~mv2.jpg
https://www.phonedepot.co.il/product-page/lan-vga-hdmi-sd-4usb-usbc-aux-11in1-c-10-%D7%AA%D7%97%D7%A0%D7%AA-%D7%A2%D7%92%D7%99%D7%A0%D7%94,LAN+VGA+HDMI+SD+4USB+USBC+AUX 11in1 C-10 תחנת עגינה,https://static.wixstatic.com/media/bbb777_218cab7a33894d689a306ca550103ab9~mv2.jpg
https://www.phonedepot.co.il/product-page/hdmi-c-02-%D7%9E%D7%AA%D7%90%D7%9D-%D7%98%D7%99%D7%99%D7%A4-%D7%A1%D7%99-%D7%9C%D7%9E%D7%97%D7%A9%D7%91,(HDMI) C-02 מתאם טייפ-סי למחשב,https://static.wixstatic.com/media/bbb777_981fcd7f5b8a4312819c92a1087fc1d6~mv2.jpg
https://www.phonedepot.co.il/product-page/%D7%9E%D7%AA%D7%90%D7%9D-%D7%97%D7%A9%D7%9E%D7%9C%D7%99-%D7%90%D7%95%D7%A0%D7%99%D7%91%D7%A8%D7%A1%D7%9C%D7%99,מתאם חשמלי אוניברסלי,https://static.wixstatic.com/media/bbb777_c1427b8c5d394289bde9e6f36985711c~mv2.jpg
https://www.phonedepot.co.il/product-page/%D7%9E%D7%AA%D7%90%D7%9D-%D7%90%D7%95%D7%A7%D7%A1-%D7%9C%D7%98%D7%99%D7%99%D7%A4-%D7%A1%D7%99-%D7%A6-%D7%99%D7%A4-%D7%93%D7%99%D7%92%D7%99%D7%98%D7%9C%D7%99-%D7%AA%D7%95%D7%9E%D7%9A-%D7%A1%D7%9E%D7%A1%D7%95%D7%A0%D7%92,מתאם אוקס לטייפ-סי - צ‘יפ דיגיטלי - תומך סמסונג,https://static.wixstatic.com/media/bbb777_a81a5ad6306f41fe803f9721e1566b21~mv2.jpg
https://www.phonedepot.co.il/product-page/%D7%9E%D7%A4%D7%A6%D7%9C-%D7%98%D7%99%D7%99%D7%A4-%D7%A1%D7%99-%D7%9C%D7%90%D7%95%D7%A7%D7%A1-%D7%98%D7%A2%D7%99%D7%A0%D7%94-%D7%A2%D7%9D-%D7%A6-%D7%99%D7%A4-%D7%93%D7%99%D7%92%D7%99%D7%98%D7%9C%D7%99,מפצל טייפ-סי לאוקס + טעינה עם צ‘יפ דיגיטלי,https://static.wixstatic.com/media/bbb777_1c86499cd6b144519160d9f328f3d7ed~mv2.jpg
https://www.phonedepot.co.il/product-page/%D7%9E%D7%AA%D7%90%D7%9D-%D7%9C%D7%99%D7%99%D7%98%D7%A0%D7%99%D7%A0%D7%92-%D7%9C%D7%90%D7%95%D7%A7%D7%A1,מתאם לייטנינג לאוקס,https://static.wixstatic.com/media/bbb777_eac3380a226b442d905de4514e807782~mv2.jpg
https://www.phonedepot.co.il/product-page/%D7%9E%D7%AA%D7%90%D7%9D-%D7%90%D7%95%D7%A7%D7%A1-%D7%96%D7%9B%D7%A8-%D7%9C%D7%90%D7%99%D7%99%D7%A4%D7%95%D7%9F,מתאם אוקס זכר לאייפון,https://static.wixstatic.com/media/bbb777_e9217c60a04540ac8302b0ebfecfe1b8~mv2.jpg
https://www.phonedepot.co.il/product-page/%D7%9E%D7%AA%D7%90%D7%9D-%D7%90%D7%95%D7%96%D7%A0%D7%99%D7%95%D7%AA-%D7%9C%D7%90%D7%95%D7%A7%D7%A1-%D7%98%D7%A2%D7%99%D7%A0%D7%94-%D7%9C%D7%90%D7%99%D7%99%D7%A4%D7%95%D7%9F,מתאם אוזניות לאוקס + טעינה לאייפון,https://static.wixstatic.com/media/bbb777_cec086da73ab4e068162ee1dd2a36eda~mv2.jpg
https://www.phonedepot.co.il/product-page/%D7%9E%D7%AA%D7%90%D7%9D-%D7%91%D7%9C%D7%95%D7%98%D7%95%D7%A1-%D7%9C%D7%90%D7%95%D7%A7%D7%A1,מתאם בלוטוס לאוקס,https://static.wixstatic.com/media/bbb777_554a6d797cee495cb47416707477a906~mv2.jpg
https://www.phonedepot.co.il/product-page/%D7%9B%D7%91%D7%9C-%D7%90%D7%95%D7%93%D7%99%D7%95-%D7%9C%D7%9E%D7%95%D7%A1%D7%99%D7%A7%D7%94-2-%D7%9E%D7%98%D7%A8,כבל אודיו למוסיקה - 2 מטר,https://static.wixstatic.com/media/bbb777_2abeace8b2dc4b49b32e80d06c668892~mv2.jpg
https://www.phonedepot.co.il/product-page/%D7%9B%D7%91%D7%9C-%D7%90%D7%95%D7%93%D7%99%D7%95-%D7%9C%D7%9E%D7%95%D7%A1%D7%99%D7%A7%D7%94-1-2-%D7%9E%D7%98%D7%A8,כבל אודיו למוסיקה - 1.2 מטר,https://static.wixstatic.com/media/bbb777_7cd7fe412a19425ba3fbd5e04bed65a2~mv2.jpg
https://www.phonedepot.co.il/product-page/%D7%9B%D7%91%D7%9C-%D7%A1%D7%A0%D7%9B%D7%A8%D7%95%D7%9F-%D7%95%D7%98%D7%A2%D7%99%D7%A0%D7%94,כבל סנכרון וטעינה,https://static.wixstatic.com/media/bbb777_4add8a041a154c3eba02906feb60cc86~mv2.jpg
https://www.phonedepot.co.il/product-page/%D7%9B%D7%91%D7%9C-1-2-%D7%9E-%D7%98%D7%99%D7%99%D7%A4-%D7%A1%D7%99-%D7%9C%D7%98%D7%99%D7%99%D7%A4-%D7%A1%D7%99,כבל 1.2 מ‘ טייפ-סי לטייפ-סי,https://static.wixstatic.com/media/bbb777_b736d9b5f55b4feeb755fa4bed0d4512~mv2.jpg
https://www.phonedepot.co.il/product-page/%D7%9B%D7%91%D7%9C-2-%D7%9E-%D7%98%D7%99%D7%99%D7%A4-%D7%A1%D7%99-%D7%9C%D7%98%D7%99%D7%99%D7%A4-%D7%A1%D7%99,כבל 2 מ‘ טייפ-סי לטייפ-סי,https://static.wixstatic.com/media/bbb777_79c6b63512484ff28520bd072751f158~mv2.jpg
https://www.phonedepot.co.il/product-page/%D7%9B%D7%91%D7%9C-2-%D7%9E-%D7%98%D7%99%D7%99%D7%A4-%D7%A1%D7%99-%D7%9C%D7%9C%D7%99%D7%99%D7%98%D7%A0%D7%99%D7%A0%D7%92,כבל 2 מ‘ טייפ-סי ללייטנינג,https://static.wixstatic.com/media/bbb777_23991d68bca24a29a8b1803993eb190c~mv2.jpg
